Author Info
Author,# Of Reviews,Product URL,Rating,Average Rating,Review Text,Review Date,Sentiment Score,Word Count,# LQ Words,Verified Purchase,Repeatability Percentage
makaveli,43,https://www.amazon.ca/SanDisk-Ultra-microSDXC-Adapter-SDSQUAR-064G-GN6MA/dp/B073JYVKNX?ref=pf_vv_at_pdctrvw_dp,1,4.6,Very upset and dissatisfied. Uploading my pictures to this memory card from a trip we made all erased. Iuno how or what happened but no picture got saved....,2018-10-01,-0.7232646666666667,28,0,Yes,0.01818181818181819
Kindle Customer,46,https://www.amazon.ca/Gallipoli/dp/B074JV6W9R?ref=pf_vv_at_pdctrvw_dp,5,4.7,Saw the movie when it came out so many years ago. I enjoyed it even more now.,2018-08-06,0.609658,17,0,Yes,0.014925373134328342
Rizzle Dizzle,60,https://www.amazon.ca/Lucy-Sous-titres-fran%C3%A7ais-Scarlett-Johansson/dp/B00M4Q7E84?ref=pf_vv_at_pdctrvw_dp,5,4.4,Good quality quick shipping,2017-09-04,0.904536,4,0,Yes,0.019999999999999993
Amazon Customer,55,https://www.amazon.ca/Ekouaer-Maternity-Nightgown-Breastfeeding-Sleepwear/dp/B074RD36H6?ref=pf_vv_at_pdctrvw_dp,3,1.6,Good quality fabric but the night dress looks different than the pic. Shoulders are puffy - 1980’s looking. Slots in the breasts are huge. Mine fall out and I am only small chested. Someone who has larger breast would never be able to…,2018-01-11,-0.10361440000000004,42,0,Yes,0.015873015873015872
AJ,22,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774/ref=cm_cr_arp_d_product_top?ie=UTF8,5,4.1,Good product for the price. I buy one every year or 2,2018-11-14,0.3769135,12,0,Yes,0.07692307692307694
Jennifer,192,https://www.amazon.ca/Vintage-Embroidery-Chinese-Embroidered-Walking/dp/B01M5ARQSD?ref=pf_vv_at_pdctrvw_dp,1,1.0,did not fit and could not get a hold of seller to fix the issue do not waist your money,2018-11-02,-0.907598,20,0,Yes,0.01111111111111111
Louis-Étienne Gagnon,4,https://www.amazon.ca/Viper-Graphstrike-Fiberglass-Graphite-Composite/dp/B00VBL468Y?ref=pf_vv_at_pdctrvw_dp,5,3.8,"This product is great for casual to advanced players. It's really cheap and good quality. The tip is in wood though and I'm a little bit surprised by that, thought it would be in leather. Good quality/price and as they say in the description , it is great for d…",2018-09-15,0.69126,49,0,Yes,0.3333333333333333
Amazon Customer,64,NO URL DETECTED,2,0.0,The 10 foot cord stopped working within a month of purchase.,2018-03-21,0.0,11,0,Yes,0.009259259259259266
SIBY PAUL,11,https://www.amazon.ca/F-0-Amplifier-Installation-Wiring-Install/dp/B01I56R7OC?ref=pf_vv_at_pdctrvw_dp,5,5.0,Excellent stuff,2018-12-15,0.988381,2,0,Yes,0.16666666666666666
Rizzle Dizzle,60,https://www.amazon.ca/Splitter-Adapter-Converter-Extender-100-230V/dp/B0784FWLGQ?ref=pf_vv_at_pdctrvw_dp,5,5.0,Well made product. Strong.,2018-02-03,0.3547025,4,0,Yes,0.019999999999999993
Rene Landry,9,https://www.amazon.ca/Harry-Potter-Complete-Collection-Bilingual/dp/B005Q6TB44?ref=pf_vv_at_pdctrvw_dp,5,4.1,You should watch the whole serie! Very good!,2016-02-22,0.389786,8,0,Yes,0.050000000000000024
Jennifer,192,https://www.amazon.ca/LEGO-Star-Wars-Speeder-75099/dp/B00WI0QCAM?ref=pf_vv_at_pdctrvw_dp,4,4.5,as expected,2017-09-19,0.0,2,0,Yes,0.01111111111111111
Rizzle Dizzle,60,https://www.amazon.ca/Ronegye-Preservation-Double-sided-Channels-Commercial/dp/B075ST849G?ref=pf_vv_at_pdctrvw_dp,4,4.5,Good product. Does not fit inside my vacuum sealer.,2018-06-01,-0.389832,9,0,Yes,0.019999999999999993
AJ,22,https://www.amazon.ca/Omron-Healthcare-Pressure-Monitor-Bluetooth/dp/B073HFBJ1H?ref=pf_vv_at_pdctrvw_dp,5,4.5,Great product and I trust it’s accuracy,2018-11-14,0.985409,7,0,Yes,0.07692307692307694
Jessica McBride,10,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774/ref=cm_cr_arp_d_product_top?ie=UTF8,4,4.1,"Great for a cheap fan for my home gym. A little flimsy looking looking, I wouldn’t have it around small children",2018-11-28,-0.040791999999999995,21,0,Yes,0.07692307692307691
sylvie Rodeghiero,20,https://www.amazon.ca/Sony-NWE395-B-Walkman-Set-of/dp/B01CCESGDO?ref=pf_vv_at_pdctrvw_dp,5,3.6,always in my pocket,2018-10-01,0.473452,4,0,Yes,0.16666666666666666
Amazon Customer,57,https://www.amazon.ca/KOBWA-Bamboo-Charcoal-Remove-Blackhead/dp/B06WRMZZ66?ref=pf_vv_at_pdctrvw_dp,3,3.0,"Decent, but not as great as some other peel off masks that I have seen advertised in the past.",2017-05-04,0.691104,19,0,Yes,0.011764705882352924
Amazon Customer,57,https://www.amazon.ca/Headphones-Parasom-A1-Sweatproof-Black/dp/B01BPCCUNQ?ref=pf_vv_at_pdctrvw_dp,4,3.9,Excellent for the price range.,2017-12-27,0.897128,5,0,Yes,0.011764705882352924
makaveli,43,https://www.amazon.ca/Bluedio-Bluetooth-Headphones-Wireless-headphones/dp/B00Q2VIW9M?ref=pf_vv_at_pdctrvw_dp,2,4.2,Sound is quite amazing loud but once u have it on bluetooth low setting u can hear a humming quite annoying so must turn a bit high . Also ive notice once u lay down the light accually shines a bit bright so u tend to see flashing lights lol little things u sho…,2016-08-14,0.627798,53,1,Yes,0.01818181818181819
Rizzle Dizzle,60,https://www.amazon.ca/Antique-Padlock-Skeleton-Notebook-Silver/dp/B076F4NGNW?ref=pf_vv_at_pdctrvw_dp,4,4.6,As. Advertised. Smaller than I thought good for a book lock,2018-08-03,0.560432,11,0,Yes,0.019999999999999993
Christopher Darling,10,https://www.amazon.ca/Switch-Controller-Officially-Licensed-Nintendo/dp/B01AI0GLJK?ref=pf_vv_at_pdctrvw_dp,4,4.0,Dpad is fine but not quite right. Great for platformers on the go but I mostly just use the original joycon in case a chance to get some two player gaming comes up.,2018-11-25,0.485236,33,0,Yes,0.034482758620689655
scott morrell,56,https://www.amazon.ca/Honeywell-HT900C-Force%C2%AE-Circulator-Eco-Friendly/dp/B00JE36AQ2?ref=pf_vv_at_pdctrvw_dp,5,4.3,Lets me listen to podcasts in the shower.,2018-07-17,0.928198,8,0,Yes,0.023255813953488347
Amazon Customer,64,https://www.amazon.ca/Pyrex-Prepware-1-Cup-Measuring-Measurements/dp/B0000CFMZN?ref=pf_vv_at_pdctrvw_dp,5,4.6,Use this measuring cup almost daily. Good purchase.,2018-12-10,0.451719,8,0,Yes,0.009259259259259266
Michael Hudson,43,https://www.amazon.ca/UST-Marine-5-in-1-Survival-Tool/dp/B00HB0UATI?ref=pf_vv_at_pdctrvw_dp,5,3.7,This can hold quite a few matches. Good shipping Thanks,2016-10-14,0.4931075,10,0,Yes,0.016393442622950827
sylvie Rodeghiero,20,https://www.amazon.ca/MagiDeal-Fashion-Bracelet-Handmade-Findings/dp/B07CW2V2K2?ref=pf_vv_at_pdctrvw_dp,5,5.0,loveit,2018-10-01,0.0,1,0,Yes,0.16666666666666666
scott morrell,56,https://www.amazon.ca/Disney-Frozen-Little-Kingdom-Castle/dp/B0194WFW84?ref=pf_vv_at_pdctrvw_dp,1,3.3,Like all other disney junk it went into the garbage about a month later.,2018-07-17,-0.934865,14,0,Yes,0.023255813953488347
SIBY PAUL,11,https://www.amazon.ca/Utopia-Bedding-Waterproof-Zippered-Encasement/dp/B00U6HREPQ?ref=pf_vv_at_pdctrvw_dp,5,4.6,Nice,2018-08-11,0.0,1,0,Yes,0.16666666666666666
Christian,3,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774/ref=cm_cr_arp_d_product_top?ie=UTF8,5,4.1,"- Very easy to assemble
- Not to noisy
- Good quality for the price",2018-08-17,0.855677,12,0,Yes,0.1111111111111111
Kindle Customer,46,https://www.amazon.ca/Cellphone-Smartphone-Directional-Condenser-Microphone/dp/B074BP1ZR4?ref=pf_vv_at_pdctrvw_dp,3,2.8,I was hoping to get a clearer sound than from the inboard microphone on my Samsung Galaxy Note 4 and this is not the case. However it is good at blocking surrounding sound but the mic must be placed close to the sound source to record …,2018-06-15,0.14204100000000003,46,0,Yes,0.014925373134328342
Sheila Borden,24,https://www.amazon.ca/DII-Foldable-Containers-Nurseries-Organizers/dp/B015UBCN6W?ref=pf_vv_at_pdctrvw_dp,5,4.1,Love these storage bins. I bought them for a cube shelf to store mittens etc and love them! They fit into my home perfectly and they are sturdy and hold alot!,2018-10-27,0.9481256666666668,31,0,Yes,0.03571428571428568
Amazon Customer,55,https://www.amazon.ca/Vileda-EasyWring-Microfibre-Bucket-Cleaning/dp/B00H7I060M?ref=pf_vv_at_pdctrvw_dp,5,4.4,Love this mop and bucket!,2017-04-10,0.980371,5,0,Yes,0.015873015873015872
SIBY PAUL,11,https://www.amazon.ca/SONGMICS-Wardrobe-Armoire-Assemble-URYG44H/dp/B016ZOLGS4?ref=pf_vv_at_pdctrvw_dp,5,4.6,Very nice and strong,2018-07-25,0.989073,4,0,Yes,0.16666666666666666
Michael Hudson,43,https://www.amazon.ca/SBO-03-11-S-Biner-Carabiner-Bottle-Opener/dp/B0037H9P4A?ref=pf_vv_at_pdctrvw_dp,5,4.7,Great deal and quick shipping. Thanks,2016-10-14,0.4425985,6,0,Yes,0.016393442622950827
neighbour2thenorth,25,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774?ref=pf_vv_at_pdctrvw_dp,5,4.1,Quiet and extremely lightweight,2018-08-20,0.94625,4,0,Yes,0.05
sylvie Rodeghiero,20,https://www.amazon.ca/Mpow-Waterproof-Bracelet-Notification-Phones-Red/dp/B07CNG4151?ref=pf_vv_at_pdctrvw_dp,5,3.9,"It's the perfect size ,love it",2018-08-20,0.991164,6,0,Yes,0.16666666666666666
Amazon Customer,55,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774?ref=pf_vv_at_pdctrvw_dp,5,4.1,"Good product, great price",2018-10-23,0.925973,4,0,Yes,0.015873015873015872
Amazon Customer,8,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774/ref=cm_cr_arp_d_product_top?ie=UTF8,4,4.1,It’s easy to assemble and good for the price. Works very well. It was delivered quickly and happy with it.,2018-09-14,0.9626250000000001,20,0,Yes,0.07692307692307694
Jennifer,192,https://www.amazon.ca/Cuisinox-800ml-Hand-Cappuccino-Frother/dp/B000H6VP2O?ref=pf_vv_at_pdctrvw_dp,5,4.1,works great !,2016-11-24,0.98338,2,0,Yes,0.01111111111111111
makaveli,43,https://www.amazon.ca/Smoke-Buddy-Personal-Filter-Blue/dp/B00478UIB2?ref=pf_vv_at_pdctrvw_dp,2,4.1,Does the job but they need to be replaced. To bad they don't have a filter replacer. You basic throw out the old unit and buy a new one. DO YOU HAVE ENOUGH MONEY TO DO THAT ?,2018-10-01,-0.19068675,37,0,Yes,0.01818181818181819
Ron Seigel,5,https://www.amazon.ca/iHome-iAVS1B-Bedside-Stereo-Speaker/dp/B0722NGLC7?ref=pf_vv_at_pdctrvw_dp,3,3.6,Meh. It's basically a cheap speaker with an even cheaper clock for significantly more money than it's worth. Not worth returning but wouldn't buy it again.,2018-02-18,-0.4759946666666666,26,0,Yes,0.03448275862068963
makaveli,43,https://www.amazon.ca/DakPets-Deshedding-Light-Trimming-Tool/dp/B00IZYDDXO?ref=pf_vv_at_pdctrvw_dp,4,4.6,Used this on my dog. Does as said 😊 Has a plastic protector for the metal part,2018-03-14,0.0,16,0,Yes,0.01818181818181819
Allrounder,12,https://www.amazon.ca/Razor-A5-LUX-Kick-Scooter/dp/B00B4HM8MG?ref=pf_vv_at_pdctrvw_dp,5,4.7,"We have owned various kick scooters in the past 10 years - this is the best kick scooter we have had. Stable, quite, easy to park with the stand. Definitely smoother riding on pavement thanks to the large wheels.",2018-08-27,0.9466106666666666,38,0,Yes,0.022222222222222216
Jennifer,192,https://www.amazon.ca/Star-Wars-Rogue-Stormtrooper-Ceramic/dp/B01N8ZS061?ref=pf_vv_at_pdctrvw_dp,4,2.8,gave as a gift it was bigger then expecting,2018-11-02,0.0,9,0,Yes,0.01111111111111111
Amazon Customer,64,https://www.amazon.ca/Bar-Keepers-Friend-11637-Cleanser/dp/B004QOYT1M?ref=pf_vv_at_pdctrvw_dp,5,4.4,This product works very well. I used it on a copper vase which was very tarnished and it came out looking shiny and new. Will try to find before and after pictures to share. Also used on all stainless steel appliances to shine them up and they all loo…,2018-12-10,0.61883525,49,0,Yes,0.009259259259259266
Jennifer,192,https://www.amazon.ca/Super-Value-Digital-Screen-Alarm/dp/B014A2NQZY?ref=pf_vv_at_pdctrvw_dp,4,2.6,I love the idea of this but the time shines upside down and its almost to bright at night and you get what you pay for,2016-11-24,0.895537,26,0,Yes,0.01111111111111111
Amazon Customer,64,https://www.amazon.ca/Mini-FilterFree-CoolMist-Humidifier-Relief/dp/B00Q41N9E8?ref=pf_vv_at_pdctrvw_dp,5,4.3,"My boyfriend and I are prone to painful, dry noses and dry throats in the winter months. Since we’ve had this humidifier, we haven’t yet woke up with dry noses. We use it every night. Settings are adjustable. Water tank very easy to fill. We keep it o…",2018-12-10,-0.13680916666666668,48,0,Yes,0.009259259259259266
santosh,2,https://www.amazon.ca/Acexy-Thermal-Knitted-Indoors-Outdoor/dp/B07FLN7VRS?ref=pf_vv_at_pdctrvw_dp,5,4.7,Good quality. But has chemical smell. Has to wash once before using it.,2018-10-25,0.0,13,0,Yes,0.5
Christopher Darling,10,https://www.amazon.ca/Star-Wars-Galactic-Imperial-Fortress/dp/B01JACQ60Q?ref=pf_vv_at_pdctrvw_dp,5,4.9,Looks cool in the box. Shipped fast. My nephew should like it. He's turning 4 and always talking about AT-ATs. I didn't know what they were so I Googled them. Other sets were like $300 CAD! So no. Got this one for a tenth of the price.,2018-03-29,0.17953175000000002,47,0,Yes,0.034482758620689655
Amazon Customer,14,https://www.amazon.ca/LSQtronics-fashionable-eyeshade-sleeping-available/dp/B010F46Z40?ref=pf_vv_at_pdctrvw_dp,3,4.1,still lets light in over my nose but very silky to the touch,2016-07-21,0.553284,13,0,Yes,0.1111111111111111
Jennifer,192,https://www.amazon.ca/Momma-Goose-Amber-Teething-Bracelet/dp/B00A5UQC3O?ref=pf_vv_at_pdctrvw_dp,4,2.9,its ok but the clasp keeps coming undone,2016-11-24,0.357378,8,0,Yes,0.01111111111111111
Jennifer,192,https://www.amazon.ca/October-Elf-Women-Sleep-Mulberry/dp/B06X96XPPX?ref=pf_vv_at_pdctrvw_dp,5,3.9,love this it fits great and it is super comfy to wear,2018-11-02,0.989869,12,0,Yes,0.01111111111111111
Michael Hudson,43,https://www.amazon.ca/Lansky-Dual-Grit-Sharpener-LPUCK/dp/B000B8FW0Y?ref=pf_vv_at_pdctrvw_dp,5,4.6,Quick shipping and product looks as described,2016-10-14,0.0,7,0,Yes,0.016393442622950827
makaveli,43,https://www.amazon.ca/Justech-Motorbike-Indicators-Waterproof-Motorcycle/dp/B07DCQDJKQ?ref=pf_vv_at_pdctrvw_dp,5,4.2,Works amazingly. Exactly what I expected,2018-11-19,0.484268,6,0,Yes,0.01818181818181819
Rizzle Dizzle,60,https://www.amazon.ca/Flexzion-200mm-Impulse-Sealer-Replacement/dp/B011TS3UWQ?ref=pf_vv_at_pdctrvw_dp,5,5.0,Great item durable and sturdy I recommend this product to others looking for a heat sealer. This company is friendly I would do business with this company in the future.,2017-12-10,0.9684809999999999,30,0,Yes,0.019999999999999993
Jennifer,192,https://www.amazon.ca/BirdRock-Home-Assembled-Lightweight-Sustainable/dp/B018R9SVSI?ref=pf_vv_at_pdctrvw_dp,5,3.9,works good and it was a good quality,2018-11-02,0.993166,8,0,Yes,0.01111111111111111
Christopher Darling,10,https://www.amazon.ca/NESTL%C3%89-FAVOURITES-Snack-Size-107g/dp/B01JZXKCNW?ref=pf_vv_at_pdctrvw_dp,5,4.3,wow. I ate it all in one night.,2018-03-29,-0.124879,8,0,Yes,0.034482758620689655
makaveli,43,https://www.amazon.ca/Avantree-Bluetooth-Transmitter-Headphones-Receivers/dp/B0169TWV8O?ref=pf_vv_at_pdctrvw_dp,5,4.2,AMAZING ABSOLUTELY LOVE IT Me and my girlfriend can watch from the same tv with headphone on love it. The sound is the same my opinion all the sound is on time with the picture .,2016-12-13,0.7780215,35,0,Yes,0.01818181818181819
Amazon Customer,55,https://www.amazon.ca/Avidlove-Lingerie-Babydoll-Sleepwear-XX-Large/dp/B078PJ6VV5?ref=pf_vv_at_pdctrvw_dp,5,4.3,"Vibrant colour, soft material, fits slightly small. No support in busy but still very pretty.",2018-10-23,0.6128184999999999,15,0,Yes,0.015873015873015872
Amazon Customer,5,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774/ref=cm_cr_arp_d_product_top?ie=UTF8,5,4.1,I order 3 fans. Easy assembly super quiet and all work great.,2018-10-05,0.483863,12,0,Yes,0.16666666666666666
Michael Hudson,43,https://www.amazon.ca/Leatherman-300-Wire-Cutter-Replacement/dp/B002VJJMQQ?ref=pf_vv_at_pdctrvw_dp,5,2.3,Great shipping and product as described. Thanks,2016-10-14,0.3878455,7,0,Yes,0.016393442622950827
sylvie Rodeghiero,20,https://www.amazon.ca/Brita-Space-Filter-Pitcher-Replacement/dp/B00VAG8ME4?ref=pf_vv_at_pdctrvw_dp,5,4.4,"Like it ,very easy to use",2018-08-24,0.953229,6,0,Yes,0.16666666666666666
Saima Tazreen,33,https://www.amazon.ca/ARFBEAR-Tapestry-whitewatercolor-tablecloths-59-1x79inchs/dp/B07DNRZ3JT?ref=pf_vv_at_pdctrvw_dp,5,4.6,"This is so beautiful. I love the design and the quality of the material. Seeing other reviews, I was worried that the material would be too thin. However, it was perfect for what I was looking for. I hung it up on my wall and it looks wonderful. A unique addi…",2018-09-07,0.6231486666666667,51,0,Yes,0.018867924528301886
Kindle Customer,46,https://www.amazon.ca/Silence-Bilingual-Liam-Neeson/dp/B01MXZ8RS3?ref=pf_vv_at_pdctrvw_dp,5,4.2,Jesuit missionaries in Japan as seen by Martin Scorsese. What are you supposed to do when the Lord doesn't talk back to you?,2018-07-08,-0.396744,23,0,Yes,0.014925373134328342
Amazon Customer,56,https://www.amazon.ca/WYNNsky-Industrial-Thread-Swivel-Plug/dp/B076PXK2DM?ref=pf_vv_at_pdctrvw_dp,5,5.0,These are as advertised,2018-11-27,0.0,4,0,Yes,0.03448275862068964
Amazon Customer,55,https://www.amazon.ca/ArRord-Golden-Snitch-Bracelet-Fashion/dp/B00V4WL9W6?ref=pf_vv_at_pdctrvw_dp,3,3.6,Gave 3 stars because even though good quality product it took over 3 months to arrive.,2017-03-01,0.729613,16,0,Yes,0.015873015873015872
Shopaholic,7,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774?ref=pf_vv_at_pdctrvw_dp,4,4.1,Does what is designed. Build could be improved,2018-12-08,0.438515,8,0,Yes,0.2
SG,8,https://www.amazon.ca/Preethi-MG155-Nitro-Grinder-110-volt/dp/B007T07EZS?ref=pf_vv_at_pdctrvw_dp,5,4.0,Good,2018-10-26,0.0,1,0,Yes,0.25
makaveli,43,https://www.amazon.ca/2-Pin-Electronic-Flasher-Motorcycle-Signal/dp/B01DKG06EA?ref=pf_vv_at_pdctrvw_dp,1,4.1,Doesn't fit my bike,2018-11-19,-0.963357,4,0,Yes,0.01818181818181819
Mike Philpott,21,https://www.amazon.ca/VECRY-Toddler-Infant-Skullcap-B318k-Blue/dp/B076X3LZN6?ref=pf_vv_at_pdctrvw_dp,5,3.9,As excepted.,2018-12-01,0.0,2,0,Yes,0.062499999999999986
makaveli,43,https://www.amazon.ca/Pictek-Gaming-Mouse-Wireless/dp/B01C551C2W?ref=pf_vv_at_pdctrvw_dp,5,4.5,Amazing product i really like useing this mouse. Functional all work. Im going to give 5 stars for customer service. Used the mouse for 6 mth . All of a sudden broken one day. Then in email them an…,2018-03-14,0.18275699999999998,38,0,Yes,0.01818181818181819
Jennifer,192,https://www.amazon.ca/Fishing-outdoor-windproof-baseball-HST019-Pink/dp/B010FD3KL2?ref=pf_vv_at_pdctrvw_dp,5,5.0,just what i needed for camping,2017-09-19,0.601976,6,0,Yes,0.01111111111111111
sylvie Rodeghiero,20,https://www.amazon.ca/Comfort-Zone-CZST161BTE-Pedestal-Fan/dp/B004IPA774?ref=pf_vv_at_pdctrvw_dp,5,4.1,Work perfect,2018-08-27,0.0,2,0,Yes,0.16666666666666666
Amazon Customer,23,https://www.amazon.ca/Electric-Train-Set-Kids-Authentic/dp/B075JRVYPR?ref=pf_vv_at_pdctrvw_dp,5,3.6,Grandson loved it,2018-09-12,0.960954,3,0,Yes,0.047619047619047616
Kindle Customer,46,https://www.amazon.ca/kwmobile-synthetic-Blackberry-magnetic-fastener/dp/B06WVBPXHH?ref=pf_vv_at_pdctrvw_dp,4,4.0,"Sturdy, well-stitched, elegant.",2017-11-22,0.980928,3,0,Yes,0.014925373134328342
Amazon Customer,57,https://www.amazon.ca/AmazonBasics-Cube-Wire-Storage-Shelves/dp/B0735CKFJK?ref=pf_vv_at_pdctrvw_dp,5,4.3,Excellent for the money. Holds quite a bit and it doesn't seem weighed down.,2018-09-06,0.22755949999999997,14,0,Yes,0.011764705882352924
Saima Tazreen,33,https://www.amazon.ca/RoomMates-RMK3608GM-Potter-Muggles-Decals/dp/B0758JZVYY?ref=pf_vv_at_pdctrvw_dp,5,4.5,"As a diehard Harry Potter fan, I can safely say that this looks like it was made for my walls. I love the fact that it's reusable.",2018-09-13,0.8924725,27,0,Yes,0.018867924528301886
Kindle Customer,46,https://www.amazon.ca/Seagate-Backup-Portable-External-STDR2000103/dp/B00FRHTTJE?ref=pf_vv_at_pdctrvw_dp,5,4.4,Looks sturdy. It is as fast as the internal drive on my computer (+140 M/s data transfer). Works on my Samsung Note 5 phone and Galaxy Tab A tablet as well.,2017-08-20,0.19407466666666665,31,0,Yes,0.014925373134328342
Amazon Customer,57,https://www.amazon.ca/Melissa-Doug-Friends-Hand-Puppets/dp/B00U3GA97K?ref=pf_vv_at_pdctrvw_dp,4,4.5,My niece and nephew seem to love them. Very soft material.,2017-02-10,0.7385935,11,0,Yes,0.011764705882352924
Ted Boucher,5,https://www.amazon.ca/Fitted-Sheet-King-Microfiber-Comfortable/dp/B00XK9CCBI?ref=pf_vv_at_pdctrvw_dp,5,4.6,Was as expected. Fits really thick mattresses.,2018-10-05,0.0,7,0,Yes,0.5
makaveli,43,https://www.amazon.ca/DaLanZom-Spinner-Titanium-Spinning-High-Speed/dp/B06XRTMT6T?ref=pf_vv_at_pdctrvw_dp,3,3.6,Well made product,2018-11-19,0.709405,3,0,Yes,0.01818181818181819
